ACCESSION_NUMBER,Business Plan,NAMEOFISSUER,CIK,FILE_NUMBER,amount,SUBMISSION_TYPE_x,FILING_DATE_x
0001670254-19-000306,https://www.sec.gov/Archives/edgar/data/1446275/000167025419000306/document_10.pdf,"LiquidPiston, Inc.",1446275,020-23032,"999,999.00",C-AR,20190429
0001670254-20-000292,https://www.sec.gov/Archives/edgar/data/1446275/000167025420000292/document_7.pdf,"LiquidPiston, Inc.",1446275,020-23032,"999,999.00",C-AR,20200424
0001670254-20-000340,https://www.sec.gov/Archives/edgar/data/1446275/000167025420000340/document_9.pdf,"LiquidPiston, Inc.",1446275,020-23032,"999,999.00",C-AR/A,20200430
0001683168-20-002394,https://www.sec.gov/Archives/edgar/data/1446275/000168316820002394/financials.pdf,"LiquidPiston, Inc.",1446275,020-23032,"999,999.00",C-AR/A,20200727
0001670254-18-000335,https://www.sec.gov/Archives/edgar/data/1446275/000167025418000335/document_10.pdf,"LiquidPiston, Inc.",1446275,020-24473,"888,317",C,20180709
0001665160-20-000007,https://www.sec.gov/Archives/edgar/data/1446275/000166516020000007/offeringmemoformc.pdf,"LiquidPiston, Inc.",1446275,020-25997,"1,068,464.5",C,20200103
0001665160-18-000881,https://www.sec.gov/Archives/edgar/data/1446482/000166516018000881/offeringmemoformc.pdf,"Freedom Motors, Inc.",1446482,020-24640,"106,359",C,20180904
0001665160-20-000757,https://www.sec.gov/Archives/edgar/data/1446482/000166516020000757/form_car.pdf,"Freedom Motors, Inc.",1446482,020-24640,"106,359",C-AR,20200609
0001670254-17-000304,https://www.sec.gov/Archives/edgar/data/1453982/000167025417000304/document_8.pdf,"LAWRENCEVILLE PLASMA PHYSICS, INC.",1453982,020-23724,"1,045,268.00",C,20171101
0001670254-18-000022,https://www.sec.gov/Archives/edgar/data/1453982/000167025418000022/document_9.pdf,"LAWRENCEVILLE PLASMA PHYSICS, INC.",1453982,020-23724,"1,045,268.00",C/A,20180131
0001670254-18-000199,https://www.sec.gov/Archives/edgar/data/1453982/000167025418000199/document_9.pdf,"LAWRENCEVILLE PLASMA PHYSICS, INC.",1453982,020-23724,"1,045,268.00",C/A,20180501
0001670254-19-000647,https://www.sec.gov/Archives/edgar/data/1453982/000167025419000647/document_5.pdf,"LAWRENCEVILLE PLASMA PHYSICS, INC.",1453982,020-23724,"1,045,268.00",C-AR,20191112
0001665160-18-000676,https://www.sec.gov/Archives/edgar/data/1455437/000166516018000676/offeringmemoformc.pdf,"Sarita's Macaroni and Cheese, Inc.",1455437,020-24475,"78,500",C,20180709
0001665160-18-000676,https://www.sec.gov/Archives/edgar/data/1455437/000166516018000676/offeringmemoformc.pdf,"Sarita's Macaroni and Cheese, Inc.",1455437,020-24475,"77,500",C,20180709
0001665160-18-000720,https://www.sec.gov/Archives/edgar/data/1455437/000166516018000720/offeringmemoformc.pdf,"Sarita's Macaroni and Cheese, Inc.",1455437,020-24475,"78,500",C/A,20180724
0001665160-18-000720,https://www.sec.gov/Archives/edgar/data/1455437/000166516018000720/offeringmemoformc.pdf,"Sarita's Macaroni and Cheese, Inc.",1455437,020-24475,"77,500",C/A,20180724
0001665160-19-000602,https://www.sec.gov/Archives/edgar/data/1455437/000166516019000602/form_car.pdf,"Sarita's Macaroni & Cheese, Inc.",1455437,020-24475,"78,500",C-AR,20190502
0001665160-19-000602,https://www.sec.gov/Archives/edgar/data/1455437/000166516019000602/form_car.pdf,"Sarita's Macaroni & Cheese, Inc.",1455437,020-24475,"77,500",C-AR,20190502
0001670254-17-000190,https://www.sec.gov/Archives/edgar/data/1470705/000167025417000190/document_18.pdf,"Epec Holdings, Inc. (f/k/a Epec Biofuels Holdings, Inc.)",1470705,020-23465,"222,459.00",C,20170712
0001670254-17-000275,https://www.sec.gov/Archives/edgar/data/1470705/000167025417000275/document_17.pdf,"Epec Holdings, Inc. (f/k/a Epec Biofuels Holdings, Inc.)",1470705,020-23465,"222,459.00",C/A,20171006
0001670254-18-000195,https://www.sec.gov/Archives/edgar/data/1470705/000167025418000195/document_15.pdf,"Epec Holdings, Inc. (f/k/a Epec Biofuels Holdings, Inc.)",1470705,020-23465,"222,459.00",C-AR,20180430
0001670254-19-000317,https://www.sec.gov/Archives/edgar/data/1470705/000167025419000317/document_15.pdf,"Epec Holdings, Inc. (f/k/a Epec Biofuels Holdings, Inc.)",1470705,020-23465,"222,459.00",C-AR,20190502
0001670254-20-000560,https://www.sec.gov/Archives/edgar/data/1470705/000167025420000560/document_12.pdf,"Epec Holdings, Inc. (f/k/a Epec Biofuels Holdings, Inc.)",1470705,020-23465,"222,459.00",C-AR,20200625
0001665160-18-000008,https://www.sec.gov/Archives/edgar/data/1470705/000166516018000008/offeringmemoformc.pdf,"Epec Holdings, Inc.",1470705,020-23896,"303,350.00",C,20180103
0001665160-18-000100,https://www.sec.gov/Archives/edgar/data/1470705/000166516018000100/epec_caa.pdf,"EPEC Holdings, Inc",1470705,020-23896,"303,350.00",C/A,20180205
0001665160-18-000888,https://www.sec.gov/Archives/edgar/data/1470705/000166516018000888/offeringmemoformc.pdf,"Epec Holdings, Inc. (f/k/a Epec Biofuels, Inc.)",1470705,020-24644,"184,400",C,20180905
0001644600-17-000002,https://www.sec.gov/Archives/edgar/data/1478263/000164460017000002/ElliptigoVideoTranscript_E.pdf,"PT Motion Works, Inc.",1478263,020-23138,"1,000,000.00",C,20170104
0001644600-17-000071,https://www.sec.gov/Archives/edgar/data/1478263/000164460017000071/PTMotionCAR.pdf,"PT Motion Works, Inc.",1478263,020-23138,"1,000,000.00",C-AR,20170428
0001665160-18-000370,https://www.sec.gov/Archives/edgar/data/1478263/000166516018000370/elliptigo_formcar.pdf,"PT Motion Works, Inc.",1478263,020-23138,"1,000,000.00",C-AR,20180430
0001478263-19-000002,https://www.sec.gov/Archives/edgar/data/1478263/000147826319000002/2018PTMotionWorksFS2.pdf,"PT Motion Works, Inc.",1478263,020-23138,"1,000,000.00",C-AR,20190430
0001478263-20-000003,https://www.sec.gov/Archives/edgar/data/1478263/000147826320000003/formcar1.pdf,"PT Motion Works, Inc.",1478263,020-23138,"1,000,000.00",C-AR,20200526
0001665160-20-000028,https://www.sec.gov/Archives/edgar/data/1478263/000166516020000028/offeringmemoformc.pdf,"PT Motion Works, Inc.",1478263,020-26008,"565,341",C,20200110
0001669191-18-000113,https://www.sec.gov/Archives/edgar/data/1489004/000166919118000113/pitchdeck.pdf,Verdant Power Inc.,1489004,020-24021,"45,150",C,20180228
0001669191-18-000140,https://www.sec.gov/Archives/edgar/data/1489004/000166919118000140/pitchdeck.pdf,Verdant Power Inc.,1489004,020-24021,"45,150",C/A,20180315
0001669191-18-000284,https://www.sec.gov/Archives/edgar/data/1489004/000166919118000284/pitchdeck.pdf,Verdant Power Inc.,1489004,020-24021,"45,150",C/A,20180530
0001669191-18-000338,https://www.sec.gov/Archives/edgar/data/1489004/000166919118000338/otherfinancial.pdf,Verdant Power Inc.,1489004,020-24021,"45,150",C/A,20180705
0001669191-18-000363,https://www.sec.gov/Archives/edgar/data/1489004/000166919118000363/otherfinancial.pdf,Verdant Power Inc.,1489004,020-24021,"45,150",C/A,20180727
0001489004-19-000001,https://www.sec.gov/Archives/edgar/data/1489004/000148900419000001/verdantpower_formc-ar.pdf,"VERDANT POWER, INC.",1489004,020-24021,"45,150",C-AR,20190501
0001489004-20-000001,https://www.sec.gov/Archives/edgar/data/1489004/000148900420000001/verdantpower2019.pdf,"VERDANT POWER, INC.",1489004,020-24021,"45,150",C-AR,20200707
0001517560-17-000006,https://www.sec.gov/Archives/edgar/data/1517560/000151756017000006/geostellarformc.pdf,"Geostellar, Inc.",1517560,020-23529,"323,000",C,20170811
0001517560-17-000008,https://www.sec.gov/Archives/edgar/data/1517560/000151756017000008/geostellarformca.pdf,"Geostellar, Inc.",1517560,020-23529,"323,000",C/A,20170814
0001517560-17-000009,https://www.sec.gov/Archives/edgar/data/1517560/000151756017000009/geostellarofferingpage.pdf,"Geostellar, Inc.",1517560,020-23529,"323,000",C/A,20170816
0001517560-17-000011,https://www.sec.gov/Archives/edgar/data/1517560/000151756017000011/dealpage.pdf,"Geostellar, Inc.",1517560,020-23529,"323,000",C/A,20171010
0001670254-17-000066,https://www.sec.gov/Archives/edgar/data/1522102/000167025417000066/document_13.pdf,"ZipZap, Inc.",1522102,020-23331,"134,933.00",C,20170425
0001670254-17-000214,https://www.sec.gov/Archives/edgar/data/1522102/000167025417000214/document_14.pdf,"ZipZap, Inc.",1522102,020-23331,"134,933.00",C/A,20170731
0001670254-18-000200,https://www.sec.gov/Archives/edgar/data/1522102/000167025418000200/document_14.pdf,"ZipZap, Inc.",1522102,020-23331,"134,933.00",C-AR,20180501
0001665160-19-000460,https://www.sec.gov/Archives/edgar/data/1522102/000166516019000460/form_car.pdf,"ZipZap, Inc.",1522102,020-23331,"134,933.00",C-AR,20190429
0001665160-18-000097,https://www.sec.gov/Archives/edgar/data/1522102/000166516018000097/offeringmemoformc.pdf,"ZipZap, Inc.",1522102,020-23968,"44,500.00",C,20180202
0001522456-17-000003,https://www.sec.gov/Archives/edgar/data/1522456/000152245617000003/formc.pdf,Richard Garriott de Cayeux,1522456,020-23408,"628,609.53",C,20170531
0001522456-17-000005,https://www.sec.gov/Archives/edgar/data/1522456/000152245617000005/formc.pdf,Richard Garriott de Cayeux,1522456,020-23408,"628,609.53",C/A,20170606
0001522456-18-000001,https://www.sec.gov/Archives/edgar/data/1522456/000152245618000001/portalariumformcar.pdf,"Portalarium, Inc.",1522456,020-23408,"628,609.53",C-AR,20180430
0001665160-17-000333,https://www.sec.gov/Archives/edgar/data/1528338/000166516017000333/offeringmemoformc.pdf,JUDOBABY INC.,1528338,020-23512,"11,788.01",C,20170801
0001665160-18-000175,https://www.sec.gov/Archives/edgar/data/1533905/000166516018000175/offeringmemoformc.pdf,"DLYTE, LLC",1533905,020-24051,"17,545.32",C,20180307
0001665160-18-000347,https://www.sec.gov/Archives/edgar/data/1533905/000166516018000347/new_dlyte_offering.pdf,"Dlyte, LLC",1533905,020-24051,"17,545.32",C/A,20180426
0001554477-19-000002,https://www.sec.gov/Archives/edgar/data/1554477/000155447719000002/thuzioformc.pdf,"Thuzio, Inc.",1554477,020-25466,"469,040",C,20190701
0001554477-20-000005,https://www.sec.gov/Archives/edgar/data/1554477/000155447720000005/thuzioformcar.pdf,"Thuzio, Inc.",1554477,020-25466,"469,040",C-AR,20200616
0001554477-20-000002,https://www.sec.gov/Archives/edgar/data/1554477/000155447720000002/thuzioformcfiling.pdf,"Thuzio, Inc.",1554477,020-26100,"82,973",C,20200212
0001557286-17-000006,https://www.sec.gov/Archives/edgar/data/1557286/000155728617000006/formc.pdf,"Napa Valley Limoncello Co, LLC",1557286,020-23417,"722,978",C,20170609
0001557286-17-000008,https://www.sec.gov/Archives/edgar/data/1557286/000155728617000008/formc.pdf,"Napa Valley Limoncello Co, LLC",1557286,020-23417,"722,978",C/A,20170712
0001557286-17-000009,https://www.sec.gov/Archives/edgar/data/1557286/000155728617000009/formc.pdf,"Napa Valley Limoncello Co, LLC",1557286,020-23417,"722,978",C/A,20170719
0001557286-17-000010,https://www.sec.gov/Archives/edgar/data/1557286/000155728617000010/formc.pdf,"Napa Valley Limoncello Co, LLC",1557286,020-23417,"722,978",C/A,20170728
0001557286-18-000001,https://www.sec.gov/Archives/edgar/data/1557286/000155728618000001/formcar-2.pdf,"NAPA VALLEY LIMONCELLO COMPANY, LLC",1557286,020-23417,"722,978",C-AR,20181212
0001568609-18-000003,https://www.sec.gov/Archives/edgar/data/1568609/000156860918000003/formc.pdf,Cuddle Clones LLC,1568609,020-24343,"111,823.00",C,20180605
0001568609-18-000006,https://www.sec.gov/Archives/edgar/data/1568609/000156860918000006/formc.pdf,Cuddle Clones LLC,1568609,020-24343,"111,823.00",C/A,20180727
0001568609-19-000001,https://www.sec.gov/Archives/edgar/data/1568609/000156860919000001/formc-ar.pdf,Cuddle Clones LLC,1568609,020-24343,"111,823.00",C-AR,20190415
0001670254-16-000145,https://www.sec.gov/Archives/edgar/data/1573103/000167025416000145/document_5.pdf,"VoiceVoice, Inc. dba MaestroConference",1573103,020-23020,"264,069",C,20161006
0001670254-16-000235,https://www.sec.gov/Archives/edgar/data/1573103/000167025416000235/document_6.pdf,"VoiceVoice, Inc. dba MaestroConference",1573103,020-23020,"264,069",C/A,20161220
0001670254-17-000100,https://www.sec.gov/Archives/edgar/data/1573103/000167025417000100/document_6.pdf,"VoiceVoice, Inc. dba MaestroConference",1573103,020-23020,"264,069",C-AR,20170505
0001670254-18-000176,https://www.sec.gov/Archives/edgar/data/1573103/000167025418000176/document_7.pdf,"VoiceVoice, Inc. dba MaestroConference",1573103,020-23020,"264,069",C-AR,20180430
0001670254-19-000314,https://www.sec.gov/Archives/edgar/data/1573103/000167025419000314/document_7.pdf,"VoiceVoice, Inc. also dba MaestroConference",1573103,020-23020,"264,069",C-AR,20190501
0001665160-17-000546,https://www.sec.gov/Archives/edgar/data/1573103/000166516017000546/offeringmemoformc.pdf,"VoiceVoice, Inc.",1573103,020-23723,"52,485.00",C,20171101
0001665160-16-000160,https://www.sec.gov/Archives/edgar/data/1573591/000166516016000160/indacctsreview2014.pdf,"Sol Boards, Inc.",1573591,020-23088,"1,000,000",C,20161123
0001665160-18-000385,https://www.sec.gov/Archives/edgar/data/1573591/000166516018000385/golfboard_formcar.pdf,"Sol Boards, Inc.",1573591,020-23088,"1,000,000",C-AR,20180501
0001665160-19-000587,https://www.sec.gov/Archives/edgar/data/1573591/000166516019000587/form_car.pdf,"Sol Boards, Inc.",1573591,020-23088,"1,000,000",C-AR,20190501
0001665160-20-000816,https://www.sec.gov/Archives/edgar/data/1573591/000166516020000816/form_car.pdf,"Sol Boards, Inc.",1573591,020-23088,"1,000,000",C-AR,20200612
0001574738-18-000001,https://www.sec.gov/Archives/edgar/data/1574738/000157473818000001/package.pdf,"FileThis, Inc.",1574738,020-23991,"300,000",C,20180216
0001574738-19-000002,https://www.sec.gov/Archives/edgar/data/1574738/000157473819000002/StatementCashFlow.pdf,"FileThis, Inc.",1574738,020-23991,"300,000",C-AR,20190424
0001669191-19-000038,https://www.sec.gov/Archives/edgar/data/1579772/000166919119000038/otherfinancial.pdf,"Flagship Fitness, Inc.",1579772,020-25143,"11,072",C,20190201
0001669191-19-000046,https://www.sec.gov/Archives/edgar/data/1579772/000166919119000046/otherfinancial.pdf,"Flagship Fitness, Inc.",1579772,020-25143,"11,072",C/A,20190208
0001580960-18-000001,https://www.sec.gov/Archives/edgar/data/1580960/000158096018000001/formc.pdf,"Pigeonly, Inc.",1580960,020-23980,"122,647.00",C,20180209
0001580960-19-000002,https://www.sec.gov/Archives/edgar/data/1580960/000158096019000002/formc-ar.pdf,"Pigeonly, Inc.",1580960,020-23980,"122,647.00",C-AR,20190430
0001580960-20-000001,https://www.sec.gov/Archives/edgar/data/1580960/000158096020000001/formc-ar.pdf,"Pigeonly, Inc.",1580960,020-23980,"122,647.00",C-AR,20200430
0001581437-19-000005,https://www.sec.gov/Archives/edgar/data/1581437/000158143719000005/formc.pdf,"DIGITAL DREAM LABS, LLC",1581437,020-25645,"1,015,129",C,20190917
0001581437-19-000006,https://www.sec.gov/Archives/edgar/data/1581437/000158143719000006/formca.pdf,"DIGITAL DREAM LABS, LLC",1581437,020-25645,"1,015,129",C/A,20190918
0001581437-19-000008,https://www.sec.gov/Archives/edgar/data/1581437/000158143719000008/formcaddl.pdf,"DIGITAL DREAM LABS, LLC",1581437,020-25645,"1,015,129",C/A,20191216
0001581437-20-000002,https://www.sec.gov/Archives/edgar/data/1581437/000158143720000002/formcardigitaldream2020.pdf,"DIGITAL DREAM LABS, LLC",1581437,020-25645,"1,015,129",C-AR,20200430
0001665160-20-000109,https://www.sec.gov/Archives/edgar/data/1585681/000166516020000109/offeringmemoformc.pdf,"Thoughtfull Toys, Inc.",1585681,020-26103,"102,941.28",C,20200212
0001665160-18-000800,https://www.sec.gov/Archives/edgar/data/1587336/000166516018000800/offeringmemoformc.pdf,"Mosaic Distributors, LLC",1587336,020-24570,"50,829.75",C,20180808
0001665160-18-000916,https://www.sec.gov/Archives/edgar/data/1587336/000166516018000916/offeringmemoformc.pdf,"Mosaic Distributors, LLC",1587336,020-24570,"50,829.75",C/A,20180912
0001593780-17-000003,https://www.sec.gov/Archives/edgar/data/1593780/000159378017000003/formc.pdf,"Edisun Microgrids, Inc.",1593780,020-23680,"1,070,000",C,20171017
0001593780-18-000002,https://www.sec.gov/Archives/edgar/data/1593780/000159378018000002/formcar.pdf,"Edisun Microgrids, Inc.",1593780,020-23680,"1,070,000",C-AR,20180502
0001597895-16-000001,https://www.sec.gov/Archives/edgar/data/1597895/000159789516000001/TravelingSpoonFS_1.pdf,Traveling Spoon,1597895,020-23076,"270,000",C,20161116
0001597895-16-000003,https://www.sec.gov/Archives/edgar/data/1597895/000159789516000003/TravelingSpoonExhibitAOM_2.pdf,Traveling Spoon,1597895,020-23076,"270,000",C/A,20161129
0001644600-17-000067,https://www.sec.gov/Archives/edgar/data/1597895/000164460017000067/TravelingSpoonCAR.pdf,Traveling Spoon,1597895,020-23076,"270,000",C-AR,20170428
0001598982-17-000003,https://www.sec.gov/Archives/edgar/data/1598982/000159898217000003/formc.pdf,"True Gault, Inc.",1598982,020-23786,"79,925",C,20171117
0001598982-19-000002,https://www.sec.gov/Archives/edgar/data/1598982/000159898219000002/formc-ar.pdf,"True Gault, Inc.",1598982,020-23786,"79,925",C-AR,20190430
0001665160-17-000028,https://www.sec.gov/Archives/edgar/data/1599738/000166516017000028/startengnineinvestprocess.pdf,"Hylete, Inc.",1599738,020-23202,"1,000,000",C,20170203
0001644600-17-000077,https://www.sec.gov/Archives/edgar/data/1599738/000164460017000077/HyleteCARv2.pdf,Hylete,1599738,020-23202,"1,000,000",C-AR,20170501
0001683168-18-001063,https://www.sec.gov/Archives/edgar/data/1599738/000168316818001063/hyleteannualreport2017.pdf,"Hylete, Inc.",1599738,020-23202,"1,000,000",C-AR,20180424
0001683168-19-001255,https://www.sec.gov/Archives/edgar/data/1599738/000168316819001255/hylete_car-2018.pdf,"Hylete, Inc.",1599738,020-23202,"1,000,000",C-AR,20190430
0001683168-20-001384,https://www.sec.gov/Archives/edgar/data/1599738/000168316820001384/hylete_c-ar.pdf,"Hylete, Inc.",1599738,020-23202,"1,000,000",C-AR,20200504
0001683168-18-002552,https://www.sec.gov/Archives/edgar/data/1599738/000168316818002552/hyleteannualreport2017_1.pdf,"Hylete, Inc.",1599738,020-23202,"1,000,000",C-AR/A,20180829
0001665160-19-001130,https://www.sec.gov/Archives/edgar/data/1599738/000166516019001130/offeringmemoformc.pdf,"HYLETE, Inc.",1599738,020-25848,"1,069,700.72",C,20191114
0001665160-18-000681,https://www.sec.gov/Archives/edgar/data/1602452/000166516018000681/offeringmemoformc.pdf,"Betterpath, Inc.",1602452,020-24480,"19,152.5",C,20180711
0001602930-18-000001,https://www.sec.gov/Archives/edgar/data/1602930/000160293018000001/formc.pdf,"WorldViz, LLC",1602930,020-23977,"1,070,000",C,20180208
0001602930-18-000009,https://www.sec.gov/Archives/edgar/data/1602930/000160293018000009/formcar.pdf,"WorldViz, Inc.",1602930,020-23977,"1,070,000",C-AR,20180430
0001602930-19-000001,https://www.sec.gov/Archives/edgar/data/1602930/000160293019000001/formcar.pdf,"WorldViz, Inc.",1602930,020-23977,"1,070,000",C-AR,20190501
0001602930-20-000001,https://www.sec.gov/Archives/edgar/data/1602930/000160293020000001/worldvizformcar.pdf,"WorldViz, Inc.",1602930,020-23977,"1,070,000",C-AR,20200615
0001665160-17-000373,https://www.sec.gov/Archives/edgar/data/1603505/000166516017000373/offeringmemoformc.pdf,VitaPerk LLC,1603505,020-23555,"13,432.5",C,20170824
0001665160-18-000356,https://www.sec.gov/Archives/edgar/data/1603505/000166516018000356/vitaperk_idisclose.pdf,VitaPerk LLC,1603505,020-23555,"13,432.5",C-AR,20180430
0001665160-19-000951,https://www.sec.gov/Archives/edgar/data/1603707/000166516019000951/offeringmemoformc.pdf,"TriplePulse, Inc.",1603707,020-25659,"1,070,028.66",C,20190923
0001665160-20-000810,https://www.sec.gov/Archives/edgar/data/1603707/000166516020000810/form_car.pdf,"TriplePulse, Inc.",1603707,020-25659,"1,070,028.66",C-AR,20200612
0001665160-17-000400,https://www.sec.gov/Archives/edgar/data/1607566/000166516017000400/offeringmemoformc.pdf,"Bright Locker, Inc.",1607566,020-23582,"346,034.02",C,20170912
0001608695-17-000002,https://www.sec.gov/Archives/edgar/data/1608695/000160869517000002/FormCandOSGRS.pdf,"G. Randall & Sons, Inc.",1608695,020-23247,"24,738.80",C,20170317
0001608695-17-000004,https://www.sec.gov/Archives/edgar/data/1608695/000160869517000004/EDGAR_FormCA_Signed.pdf,"G. Randall & Sons, Inc.",1608695,020-23247,"24,738.80",C/A,20170623
